Date,Ticker,Open,High,Low,Returns
03/05/2012,IGUSA10D,,,,1.9884
03/06/2012,IGUSA10D,,,,1.961764
03/07/2012,IGUSA10D,,,,1.975446
03/08/2012,IGUSA10D,,,,2.010918
03/09/2012,IGUSA10D,,,,2.02164
03/12/2012,IGUSA10D,,,,2.023884
03/13/2012,IGUSA10D,,,,2.114748
03/14/2012,IGUSA10D,,,,2.273283
03/15/2012,IGUSA10D,,,,2.271222
03/16/2012,IGUSA10D,,,,2.290827
03/19/2012,IGUSA10D,,,,2.358213
03/20/2012,IGUSA10D,,,,2.35977
03/21/2012,IGUSA10D,,,,2.291751
03/22/2012,IGUSA10D,,,,2.287252
03/23/2012,IGUSA10D,,,,2.2455
03/26/2012,IGUSA10D,,,,2.23853
03/27/2012,IGUSA10D,,,,2.18944
03/28/2012,IGUSA10D,,,,2.20558
03/29/2012,IGUSA10D,,,,2.172806
03/30/2012,IGUSA10D,,,,2.225094
04/02/2012,IGUSA10D,,,,2.19891
04/03/2012,IGUSA10D,,,,2.27815
04/04/2012,IGUSA10D,,,,2.241
04/05/2012,IGUSA10D,,,,2.175108
04/06/2012,IGUSA10D,,,,2.064204
04/09/2012,IGUSA10D,,,,2.054232
04/10/2012,IGUSA10D,,,,2.018241
04/11/2012,IGUSA10D,,,,2.05738
04/12/2012,IGUSA10D,,,,2.068144
04/13/2012,IGUSA10D,,,,2.018788
04/16/2012,IGUSA10D,,,,1.9992
04/17/2012,IGUSA10D,,,,2.010512
04/18/2012,IGUSA10D,,,,1.982
04/19/2012,IGUSA10D,,,,1.970694
04/20/2012,IGUSA10D,,,,1.973085
04/23/2012,IGUSA10D,,,,1.941968
04/24/2012,IGUSA10D,,,,1.9738
04/25/2012,IGUSA10D,,,,1.975629
04/26/2012,IGUSA10D,,,,1.950498
04/27/2012,IGUSA10D,,,,1.921388
04/30/2012,IGUSA10D,,,,1.92465
05/01/2012,IGUSA10D,,,,1.951884
05/02/2012,IGUSA10D,,,,1.933344
05/03/2012,IGUSA10D,,,,1.937264
05/04/2012,IGUSA10D,,,,1.901023
05/07/2012,IGUSA10D,,,,1.906368
