Date,Ticker,Open,High,Low,Close,Returns
06/01/2010,_CNDD,686.4,695.62,673.64,673.79,-1.837121212
06/02/2010,_CNDD,680.57,699.04,674.53,698.86,2.687453164
06/03/2010,_CNDD,702.8,706.22,688.57,698.19,-0.655947638
06/04/2010,_CNDD,681.49,695.12,670.81,674.1,-1.084388619
06/07/2010,_CNDD,676.65,676.83,647.1,650.18,-3.911919013
06/08/2010,_CNDD,653.47,667.4,652.86,663.64,1.556307099
06/09/2010,_CNDD,668.75,673.41,654.94,657.43,-1.69271028
06/10/2010,_CNDD,665.12,675.39,658.16,674.87,1.46590089
06/11/2010,_CNDD,670.63,682.83,667.32,679.01,1.249571299
06/14/2010,_CNDD,685.75,694.57,676.42,677.19,-1.248268319
06/15/2010,_CNDD,685.25,708.8,684.96,708.16,3.343305363
06/16/2010,_CNDD,702.08,706.59,695,698.24,-0.546946217
06/17/2010,_CNDD,703.7,705.02,694.94,700.85,-0.405002132
06/18/2010,_CNDD,705.93,707.87,695.06,696.15,-1.385406485
06/21/2010,_CNDD,706.28,707.15,674.07,677.03,-4.141417002
06/22/2010,_CNDD,677.1,685.58,672.44,673.11,-0.589277802
06/23/2010,_CNDD,677.55,685.87,670.93,678.75,0.1771087
06/24/2010,_CNDD,675.63,680.15,665.3,667.44,-1.212201945
06/25/2010,_CNDD,643.06,643.2,624.78,627.27,-2.455447392
06/28/2010,_CNDD,629.64,634.1,622.83,629.79,0.023823137
06/29/2010,_CNDD,619.09,621.33,593.25,597.04,-3.561679239
06/30/2010,_CNDD,593.2,606.42,590.86,591.79,-0.237693864
07/01/2010,_CNDD,589.32,590.56,574.22,585.66,-0.621054775
07/02/2010,_CNDD,583.2,585.21,576.31,580.04,-0.541838134
07/06/2010,_CNDD,592.35,592.78,570.98,575.09,-2.913817844
07/07/2010,_CNDD,576.03,593.5,575.03,593.35,3.006787841
07/08/2010,_CNDD,600.14,600.14,583.1,591.37,-1.461325691
07/09/2010,_CNDD,597.16,624.22,594.03,622.57,4.255141001
07/12/2010,_CNDD,623.25,625.54,611.98,623.56,0.04973927
07/13/2010,_CNDD,631.79,645.6,631.33,642.34,1.669858656
07/14/2010,_CNDD,639.96,642.31,632.1,637.58,-0.371898244
07/15/2010,_CNDD,642.06,643.91,632.85,642.48,0.065414447
07/16/2010,_CNDD,637.61,638.01,612.27,614.22,-3.668386631
07/19/2010,_CNDD,615.53,625.36,610.08,624.78,1.502769971
07/20/2010,_CNDD,614.84,636.05,610.7,635.85,3.417149177
07/21/2010,_CNDD,633.32,636.05,618.17,621.61,-1.848986294
07/22/2010,_CNDD,628.67,639.26,626.81,633.31,0.738066076
07/23/2010,_CNDD,631.8,643.94,628.12,643.9,1.915163026
07/26/2010,_CNDD,645.1,646.36,636.19,645.08,-0.003100295
07/27/2010,_CNDD,645.91,646.32,623.35,626.05,-3.074731774
07/28/2010,_CNDD,631.7,641.8,631.66,639.37,1.214183948
07/29/2010,_CNDD,644.06,649.85,628.4,641.11,-0.45803186
07/30/2010,_CNDD,634.81,659.15,629.18,657.31,3.544367606
08/02/2010,_CNDD,654.13,659.54,648.79,655.83,0.259887178
08/03/2010,_CNDD,659.3,668.48,643.49,645.51,-2.091612316
08/04/2010,_CNDD,641.97,642.5,628.28,633.58,-1.306914653
08/05/2010,_CNDD,631.42,634.9,625.33,626.48,-0.782363561
08/06/2010,_CNDD,621.18,635.31,620.28,634.01,2.065423871
08/09/2010,_CNDD,639.6,651.7,632.61,647.38,1.216385241
08/10/2010,_CNDD,642.48,652.65,640.85,648.26,0.899638899
08/11/2010,_CNDD,637.62,643.19,633.73,641.32,0.580282927
08/12/2010,_CNDD,628.96,635.14,621.76,626.81,-0.341834139
08/13/2010,_CNDD,624.35,629.77,615.3,619.93,-0.707936254
08/16/2010,_CNDD,614.95,615.86,599.93,602.5,-2.024554842
08/17/2010,_CNDD,599.86,603.05,593.54,600.41,0.091688061
08/18/2010,_CNDD,601.46,611.73,600.56,604.16,0.448907658
08/19/2010,_CNDD,603.45,611.94,600.84,602.76,-0.11434253
08/20/2010,_CNDD,591.09,591.88,580.44,588.27,-0.477084708
08/23/2010,_CNDD,590.83,592.57,578.6,579.13,-1.980265051
08/24/2010,_CNDD,569.59,579.49,565.93,571.33,0.305482891
08/25/2010,_CNDD,571.59,581,570.14,578.92,1.282387725
08/26/2010,_CNDD,582.21,587.91,572.13,573.37,-1.518352484
08/27/2010,_CNDD,575.31,576.64,560.29,571.95,-0.584032956
08/30/2010,_CNDD,573.11,578.06,565.46,565.46,-1.334822285
08/31/2010,_CNDD,562.61,565.86,545.41,548.27,-2.548834895
09/01/2010,_CNDD,554.66,567.21,552.05,562.1,1.341362276
09/02/2010,_CNDD,566.01,568.15,561.26,566.2,0.033568312
09/03/2010,_CNDD,571.51,577.22,570.65,574.54,0.53017445
09/07/2010,_CNDD,572.12,572.72,567.56,570.39,-0.302384115
09/08/2010,_CNDD,571.34,578.81,571.34,572.76,0.248538523
09/09/2010,_CNDD,577.07,585.52,573.65,575.7,-0.237406207
09/10/2010,_CNDD,572.86,574.89,567.08,571.75,-0.19376462
09/13/2010,_CNDD,572.82,578.99,571.49,575.48,0.464369261
09/14/2010,_CNDD,575.63,589.43,574.89,584.89,1.608672237
09/15/2010,_CNDD,586.93,590.11,580.59,588.89,0.333941015
09/16/2010,_CNDD,591.22,598.11,588.06,596.26,0.852474544
09/17/2010,_CNDD,610.97,613.07,591.51,596.28,-2.404373373
09/20/2010,_CNDD,597.41,597.54,588.63,592.1,-0.888836812
09/21/2010,_CNDD,593.66,607.94,591.73,606.45,2.15443183
09/22/2010,_CNDD,611.44,619.09,604.94,608.76,-0.438309564
09/23/2010,_CNDD,599.35,611.56,598.35,603.32,0.66238425
